Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
107:            18890   755600  java.io.FileDescriptor
108:            6611    754656  java.lang.Class
109:            14255   684240  java.net.SocketInputStream
110:            14255   684240  java.net.SocketOutputStream
111:            42469   679504  org.jsoup.nodes.Attributes
112:            41452   663232  com.google.common.collect.Count
113:            27352   656448  java.net.Inet4Address
114:            26679   640296  com.jinba.utils.CountDownLatchUtils
115:            37282   596512  java.util.HashMap$KeySet
116:            12376   594048  com.jinba.pojo.ProxyCheckResEntity
117:            21988   527712  org.apache.http.impl.cookie.PublicSuffixDomainFilter
118:            21548   517152  org.apache.http.message.BasicHeader
119:            21131   507144  org.apache.http.message.BufferedHeader
120:            30499   487984  java.util.HashMap$Values
121:            5136    451968  java.lang.reflect.Method
122:            26682   426912  java.util.concurrent.CountDownLatch
123:            5893    424296  org.apache.http.impl.conn.LoggingManagedHttpClientConnection
124:            5893    424296  org.apache.http.impl.conn.CPoolEntry
125:            9916    396640  java.lang.ref.SoftReference
126:            15925   382200  java.util.Date
127:            21988   351808  org.apache.http.impl.cookie.BasicSecureHandler
128:            21988   351808  org.apache.http.impl.cookie.BasicCommentHandler
129:            21988   351808  org.apache.http.impl.cookie.BasicPathHandler
130:            11176   344264  java.lang.String[]
131:            10715   342880  java.lang.ref.WeakReference
132:            10554   337728  org.apache.http.auth.AuthState
133:            5969    334264  org.apache.http.impl.io.SessionInputBufferImpl
134:            7329    293160  org.apache.http.client.methods.HttpGet
135:            5973    286704  org.apache.http.impl.execchain.ConnectionHolder
136:            8939    286048  java.util.Hashtable$Entry
137:            11862   284688  org.apache.http.impl.io.HttpTransportMetricsImpl
138:            11862   284688  org.apache.http.util.ByteArrayBuffer
139:            5893    282864  org.apache.http.impl.conn.DefaultHttpResponseParser
140:            4407    282048  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
141:            11462   275088  java.util.concurrent.ConcurrentLinkedQueue$Node
142:            3977    254528  java.net.URL
143:            6277    251080  org.apache.http.conn.routing.HttpRoute
144:            6261    250440  org.apache.http.pool.AbstractConnPool$1
145:            5893    235720  org.apache.http.impl.io.SessionOutputBufferImpl
146:            5893    235720  org.apache.http.impl.HttpConnectionMetricsImpl
147:            14658   234528  org.apache.http.impl.cookie.BasicMaxAgeHandler
148:            4821    231408  java.util.zip.Inflater
149:            14209   227344  org.apache.http.message.HeaderGroup
150:            13225   211600  java.util.concurrent.atomic.AtomicReference
151:            5277    211080  org.apache.http.client.methods.HttpRequestWrapper
152:            12606   201696  org.apache.http.params.BasicHttpParams
153:            7329    175896  org.apache.http.impl.cookie.RFC2109Spec
154:            7329    175896  org.apache.http.impl.cookie.DefaultCookieSpec
155:            7329    175896  org.apache.http.impl.cookie.RFC2965Spec
156:            5387    172384  org.apache.http.cookie.CookieOrigin
157:            2637    168768  sun.nio.cs.ext.DoubleByte$Encoder
158:            5969    143256  org.apache.http.impl.conn.Wire
159:            2947    141456  org.apache.catalina.loader.ResourceEntry
